ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,OWN_CAR_AGE
0,N,Y,
1,N,N,
2,Y,Y,26.0
3,N,Y,
4,N,Y,
5,N,Y,
6,Y,Y,17.0
7,Y,Y,8.0
8,N,Y,
9,N,Y,
10,N,Y,
11,N,Y,
12,N,Y,
13,Y,N,23.0
14,N,Y,
15,Y,Y,17.0
16,N,N,
17,N,Y,
18,N,Y,
19,N,Y,
20,Y,Y,7.0
21,Y,Y,14.0
22,N,N,
23,N,Y,
24,Y,N,7.0
25,N,Y,
26,N,Y,
27,N,Y,
28,Y,Y,1.0
29,N,Y,
30,N,Y,
31,N,Y,
32,N,N,
33,Y,N,3.0
34,N,Y,
35,N,N,
36,N,Y,
37,N,Y,
38,N,Y,
39,Y,Y,3.0
40,N,Y,
41,N,Y,
42,N,N,
43,N,Y,
44,N,Y,
45,N,Y,
46,N,Y,
47,N,Y,
48,N,N,
49,Y,Y,3.0
50,N,Y,
51,Y,Y,7.0
52,Y,N,13.0
53,N,Y,
54,Y,N,8.0
55,N,Y,
56,N,N,
57,N,Y,
58,Y,Y,10.0
59,Y,Y,2.0
60,N,Y,
61,N,N,
62,Y,Y,10.0
63,N,N,
64,Y,N,1.0
65,N,Y,
66,Y,Y,21.0
67,N,Y,
68,N,N,
69,Y,N,20.0
70,N,N,
71,Y,Y,22.0
72,N,Y,
73,N,Y,
74,N,Y,
75,N,Y,
76,N,N,
77,N,Y,
78,N,Y,
79,N,Y,
80,N,Y,
81,N,Y,
82,Y,Y,20.0
83,Y,N,1.0
84,N,Y,
85,Y,Y,65.0
86,Y,Y,5.0
87,N,N,
88,N,Y,
89,N,Y,
90,N,Y,
91,N,Y,
92,Y,Y,21.0
93,Y,N,17.0
94,Y,Y,2.0
95,Y,N,11.0
96,N,Y,
97,N,N,
98,N,Y,
99,N,Y,
100,N,Y,
101,N,N,
102,N,Y,
103,N,N,
104,N,N,
105,N,Y,
106,N,N,
107,N,Y,
108,N,Y,
109,Y,Y,5.0
110,N,Y,
111,N,Y,
112,N,Y,
113,N,N,
114,N,N,
115,N,Y,
116,Y,N,9.0
117,Y,Y,2.0
118,Y,N,5.0
119,N,N,
120,N,N,
121,Y,Y,7.0
122,N,Y,
123,N,N,
124,Y,Y,8.0
125,Y,Y,13.0
126,N,Y,
127,N,Y,
128,Y,N,4.0
129,N,N,
130,N,Y,
131,Y,Y,15.0
132,N,N,
133,N,N,
134,Y,N,65.0
135,N,Y,
136,N,N,
137,N,Y,
138,N,Y,
139,N,Y,
140,N,Y,
141,N,Y,
142,Y,N,3.0
143,Y,Y,9.0
144,N,Y,
145,N,Y,
146,N,N,
147,N,Y,
148,N,Y,
149,N,Y,
150,N,N,
151,N,Y,
152,Y,N,4.0
153,N,Y,
154,N,Y,
155,N,Y,
156,N,Y,
157,N,Y,
158,N,Y,
159,N,N,
160,N,Y,
161,Y,N,3.0
162,N,Y,
163,N,N,
164,Y,N,15.0
165,N,Y,
166,Y,Y,8.0
167,Y,Y,8.0
168,N,N,
169,Y,Y,1.0
170,N,Y,
171,N,N,
172,N,Y,
173,N,N,
174,N,N,
175,N,Y,
176,N,Y,
177,Y,N,12.0
178,N,Y,
179,N,N,
180,N,Y,
181,N,Y,
182,N,N,
183,N,N,
184,N,Y,
185,Y,N,11.0
186,N,N,
187,N,N,
188,Y,Y,3.0
189,N,Y,
190,N,Y,
191,N,Y,
192,Y,Y,7.0
193,Y,N,7.0
194,N,N,
195,N,N,
196,N,N,
197,N,Y,
198,N,N,
199,Y,Y,9.0
200,N,Y,
201,N,N,
202,N,Y,
203,Y,Y,21.0
204,N,N,
205,Y,Y,21.0
206,N,Y,
207,N,Y,
208,Y,Y,11.0
209,N,Y,
210,N,N,
211,N,Y,
212,N,Y,
213,N,Y,
214,N,Y,
215,Y,N,17.0
216,Y,Y,12.0
217,N,Y,
218,Y,Y,2.0
219,Y,Y,3.0
220,N,Y,
221,N,Y,
222,Y,Y,25.0
223,N,Y,
224,N,Y,
225,Y,Y,2.0
226,N,Y,
227,N,Y,
228,N,Y,
229,N,N,
230,N,Y,
231,N,N,
232,N,Y,
233,N,Y,
234,N,Y,
235,N,Y,
236,Y,Y,6.0
237,Y,Y,64.0
238,Y,Y,22.0
239,Y,N,13.0
240,N,Y,
241,N,Y,
242,Y,Y,11.0
243,N,Y,
244,Y,Y,2.0
245,N,Y,
246,Y,Y,21.0
247,N,Y,
248,N,N,
249,Y,N,0.0
250,N,N,
251,N,N,
252,N,Y,
253,N,Y,
254,N,Y,
255,Y,N,9.0
256,N,Y,
257,Y,N,9.0
258,N,Y,
259,N,Y,
260,N,N,
261,N,Y,
262,N,Y,
263,N,Y,
264,N,Y,
265,Y,Y,15.0
266,N,Y,
267,N,N,
268,N,Y,
269,N,N,
270,N,Y,
271,N,N,
272,Y,Y,65.0
273,N,Y,
274,N,Y,
275,N,N,
276,N,Y,
277,Y,Y,6.0
278,Y,N,1.0
279,Y,Y,20.0
280,Y,Y,3.0
281,Y,Y,1.0
282,N,Y,
283,Y,Y,27.0
284,Y,Y,3.0
285,N,N,
286,Y,Y,19.0
287,N,Y,
288,N,Y,
289,N,Y,
290,N,Y,
291,Y,Y,5.0
292,N,Y,
293,N,N,
294,N,Y,
295,N,N,
296,Y,Y,28.0
297,N,N,
298,Y,Y,2.0
299,N,N,
300,N,N,
301,N,Y,
302,N,N,
303,N,N,
304,N,N,
305,N,Y,
306,N,N,
307,N,Y,
308,N,Y,
309,N,Y,
310,N,Y,
311,N,Y,
312,Y,Y,12.0
313,N,N,
314,N,Y,
315,N,Y,
316,Y,Y,6.0
317,N,N,
318,N,Y,
319,Y,Y,3.0
320,N,Y,
321,N,Y,
322,N,Y,
323,Y,Y,1.0
324,N,N,
325,N,N,
326,Y,Y,17.0
327,N,Y,
328,Y,Y,17.0
329,N,N,
330,Y,Y,3.0
331,Y,Y,22.0
332,N,Y,
333,N,N,
334,Y,N,22.0
335,Y,Y,8.0
336,N,Y,
337,Y,Y,13.0
338,N,N,
339,N,Y,
340,Y,N,17.0
341,Y,Y,6.0
342,N,Y,
343,Y,Y,12.0
344,N,N,
345,N,Y,
346,N,Y,
347,N,N,
348,N,Y,
349,N,Y,
350,Y,Y,1.0
351,Y,Y,12.0
352,N,Y,
353,N,N,
354,N,Y,
355,N,Y,
356,Y,N,10.0
357,Y,N,9.0
358,Y,Y,21.0
359,N,Y,
360,N,Y,
361,N,Y,
362,N,Y,
363,N,N,
364,N,Y,
365,N,Y,
366,Y,N,4.0
367,Y,Y,6.0
368,N,Y,
369,Y,Y,64.0
370,N,N,
371,Y,Y,18.0
372,N,Y,
373,N,Y,
374,N,Y,
375,N,N,
376,N,Y,
377,N,Y,
378,N,Y,
379,N,Y,
380,N,Y,
381,N,Y,
382,N,Y,
383,N,Y,
384,N,N,
385,N,Y,
386,N,Y,
387,N,Y,
388,N,Y,
389,N,Y,
390,Y,N,6.0
391,Y,Y,2.0
392,Y,Y,8.0
393,Y,Y,14.0
394,Y,Y,7.0
395,N,N,
396,Y,Y,6.0
397,N,N,
398,Y,Y,15.0
399,N,N,
400,N,N,
401,N,N,
402,N,N,
403,N,N,
404,Y,N,2.0
405,Y,Y,4.0
406,Y,Y,0.0
407,Y,Y,1.0
408,Y,Y,11.0
409,Y,Y,7.0
410,Y,N,15.0
411,Y,Y,5.0
412,Y,Y,3.0
413,Y,Y,12.0
414,N,Y,
415,Y,Y,64.0
416,N,N,
417,Y,Y,3.0
418,Y,Y,21.0
419,Y,N,8.0
420,N,Y,
421,Y,N,1.0
422,Y,N,4.0
423,N,Y,
424,N,N,
425,Y,N,64.0
426,N,Y,
427,Y,Y,16.0
428,Y,N,13.0
429,N,Y,
430,N,Y,
431,N,Y,
432,Y,Y,17.0
433,N,N,
434,N,N,
435,Y,Y,1.0
436,N,Y,
437,N,Y,
438,Y,Y,7.0
439,Y,Y,20.0
440,N,N,
441,Y,Y,1.0
442,N,Y,
443,N,N,
444,N,Y,
445,N,Y,
446,N,Y,
447,N,N,
448,N,Y,
449,N,N,
450,N,Y,
451,N,N,
452,Y,Y,1.0
453,Y,Y,27.0
454,N,Y,
455,N,Y,
456,Y,N,27.0
457,N,N,
458,N,Y,
459,N,Y,
460,Y,Y,14.0
461,Y,Y,10.0
462,Y,Y,17.0
463,N,Y,
464,N,N,
465,Y,N,16.0
466,Y,Y,64.0
467,N,Y,
468,Y,N,15.0
469,N,Y,
470,N,Y,
471,Y,N,17.0
472,N,Y,
473,N,Y,
474,N,Y,
475,N,Y,
476,N,Y,
477,Y,N,1.0
478,N,Y,
479,Y,Y,21.0
480,Y,Y,7.0
481,N,N,
482,N,Y,
483,Y,Y,11.0
484,N,Y,
485,Y,Y,7.0
486,N,N,
487,N,Y,
488,N,Y,
489,N,Y,
490,N,Y,
491,N,Y,
492,Y,Y,10.0
493,Y,N,5.0
494,Y,Y,10.0
495,N,Y,
496,Y,N,1.0
497,Y,Y,4.0
498,Y,Y,4.0
499,N,Y,
500,N,Y,
501,N,N,
502,N,N,
503,N,Y,
504,N,Y,
505,N,Y,
506,Y,Y,23.0
507,N,N,
508,N,Y,
509,N,Y,
510,Y,Y,4.0
511,N,Y,
512,N,Y,
513,Y,N,15.0
514,Y,Y,9.0
515,N,Y,
516,N,Y,
517,N,Y,
518,N,Y,
519,N,Y,
520,N,Y,
521,N,Y,
522,N,Y,
523,N,Y,
524,N,N,
525,Y,Y,0.0
526,Y,Y,13.0
527,N,N,
528,N,Y,
529,Y,Y,9.0
530,N,N,
531,Y,N,19.0
532,N,N,
533,N,Y,
534,Y,N,9.0
535,N,N,
536,N,Y,
537,Y,Y,6.0
538,N,Y,
539,Y,Y,11.0
540,N,Y,
541,N,Y,
542,Y,N,11.0
543,N,Y,
544,Y,N,8.0
545,N,Y,
546,Y,Y,5.0
547,Y,Y,4.0
548,N,Y,
549,N,Y,
550,N,Y,
551,N,Y,
552,Y,Y,2.0
553,N,Y,
554,N,Y,
555,N,Y,
556,N,Y,
557,N,Y,
558,Y,Y,0.0
559,Y,N,2.0
560,Y,Y,22.0
561,N,Y,
562,Y,N,15.0
563,N,N,
564,N,N,
565,Y,N,10.0
566,Y,Y,4.0
567,N,Y,
568,N,Y,
569,N,Y,
570,N,Y,
571,N,N,
572,N,N,
573,N,Y,
574,N,Y,
575,Y,Y,2.0
576,N,Y,
577,N,Y,
578,Y,Y,11.0
579,N,Y,
580,Y,Y,64.0
581,N,Y,
582,N,N,
583,Y,N,30.0
584,N,Y,
585,N,Y,
586,N,Y,
587,Y,N,3.0
588,Y,Y,8.0
589,Y,Y,3.0
590,Y,N,6.0
591,Y,Y,6.0
592,N,Y,
593,N,Y,
594,Y,N,8.0
595,N,Y,
596,Y,Y,36.0
597,Y,N,6.0
598,N,N,
599,N,N,
600,Y,Y,7.0
601,N,Y,
602,N,Y,
603,N,Y,
604,N,Y,
605,N,Y,
606,N,Y,
607,N,Y,
608,N,Y,
609,Y,Y,3.0
610,N,Y,
611,N,Y,
612,N,N,
613,N,Y,
614,Y,Y,12.0
615,N,N,
616,N,Y,
617,N,Y,
618,N,Y,
619,N,Y,
620,Y,Y,10.0
621,Y,Y,21.0
622,N,N,
623,N,Y,
624,N,Y,
625,Y,Y,18.0
626,Y,N,20.0
627,N,Y,
628,N,Y,
629,Y,Y,7.0
630,N,Y,
631,Y,Y,3.0
632,Y,Y,0.0
633,Y,N,4.0
634,N,Y,
635,Y,Y,7.0
636,Y,N,64.0
637,Y,Y,64.0
638,N,N,
639,N,Y,
640,Y,Y,14.0
641,N,Y,
642,N,N,
643,Y,Y,4.0
644,Y,Y,2.0
645,Y,N,10.0
646,N,Y,
647,N,Y,
648,N,Y,
649,Y,Y,16.0
650,N,Y,
651,N,Y,
652,Y,Y,3.0
653,Y,Y,10.0
654,N,N,
655,N,Y,
656,N,Y,
657,N,Y,
658,N,N,
659,N,Y,
660,Y,N,3.0
661,N,N,
662,Y,Y,13.0
663,Y,Y,16.0
664,N,Y,
665,Y,N,17.0
666,N,Y,
667,N,Y,
668,N,Y,
669,N,Y,
670,Y,N,13.0
671,N,Y,
672,Y,Y,17.0
673,N,Y,
674,N,N,
675,Y,Y,1.0
676,N,N,
677,N,Y,
678,N,Y,
679,Y,N,19.0
680,N,N,
681,Y,N,11.0
682,N,N,
683,N,Y,
684,Y,N,13.0
685,N,Y,
686,N,Y,
687,Y,Y,4.0
688,N,Y,
689,N,Y,
690,Y,Y,16.0
691,N,Y,
692,N,Y,
693,N,Y,
694,N,Y,
695,N,Y,
696,Y,N,2.0
697,N,Y,
698,Y,Y,7.0
699,N,Y,
700,N,Y,
701,Y,Y,13.0
702,N,N,
703,N,Y,
704,N,N,
705,N,Y,
706,Y,Y,3.0
707,N,Y,
708,N,N,
709,N,Y,
710,N,N,
711,N,Y,
712,N,N,
713,N,Y,
714,N,Y,
715,N,Y,
716,N,N,
717,N,Y,
718,N,N,
719,Y,Y,14.0
720,N,Y,
721,N,Y,
722,N,Y,
723,Y,Y,64.0
724,N,Y,
725,N,N,
726,N,N,
727,Y,Y,6.0
728,N,N,
729,Y,Y,14.0
730,N,N,
731,N,Y,
732,N,Y,
733,N,N,
734,Y,Y,1.0
735,Y,Y,5.0
736,N,Y,
737,N,N,
738,Y,Y,17.0
739,Y,Y,20.0
740,N,Y,
741,N,N,
742,Y,N,14.0
743,N,Y,
744,N,Y,
745,Y,Y,12.0
746,N,Y,
747,N,Y,
748,N,N,
749,Y,Y,12.0
750,N,Y,
751,N,Y,
752,Y,Y,13.0
753,N,Y,
754,Y,Y,8.0
755,N,N,
756,N,N,
757,N,Y,
758,N,Y,
759,N,Y,
760,N,Y,
761,N,Y,
762,Y,Y,5.0
763,N,Y,
764,N,Y,
765,Y,Y,2.0
766,N,N,
767,N,N,
768,N,Y,
769,Y,N,5.0
770,N,Y,
771,N,N,
772,Y,Y,4.0
773,N,Y,
774,Y,N,8.0
775,Y,Y,2.0
776,N,Y,
777,N,N,
778,N,Y,
779,N,Y,
780,N,N,
781,N,N,
782,N,N,
783,N,Y,
784,N,Y,
785,N,N,
786,N,Y,
787,N,Y,
788,N,Y,
789,N,Y,
790,N,Y,
791,N,Y,
792,N,N,
793,Y,N,13.0
794,N,Y,
795,N,Y,
796,N,N,
797,N,Y,
798,Y,Y,0.0
799,N,Y,
800,N,Y,
801,N,Y,
802,N,N,
803,Y,Y,7.0
804,N,N,
805,N,Y,
806,Y,Y,1.0
807,N,Y,
808,N,N,
809,N,N,
810,N,Y,
811,Y,Y,5.0
812,N,Y,
813,N,Y,
